div,dis,upa,uni,mou,depth,colour,as
Khulna,Magura,Shalikha,Dhaneshwargati,Singra,61,Black,9
Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,Black,1
Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,Black,0
Khulna,Magura,Shalikha,Talkhari,Satanfuria,55,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,56,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,49,Red,25
Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,Black,1030
Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,Black,1
Khulna,Magura,Shalikha,Talkhari,Satanfuria,58,Black,4
Khulna,Magura,Shalikha,Talkhari,Satanfuria,46,Black,0
Khulna,Magura,Shalikha,Talkhari,Uchgram,58,Red,75
Khulna,Magura,Shalikha,Talkhari,Uchgram,49,Red,102
Khulna,Magura,Shalikha,Talkhari,Uchgram,40,Red,85
Khulna,Magura,Shalikha,Talkhari,Uchgram,52,Red,24
Khulna,Magura,Shalikha,Arpara,Chukinagar,52,Red,119
Khulna,Magura,Shalikha,Arpara,Alokdia,52,Black,0
Khulna,Magura,Shalikha,Arpara,Alokdia,49,Black,0
Khulna,Magura,Shalikha,Arpara,Alokdia,56,Black,0
Khulna,Magura,Shalikha,Arpara,Alokdia,55,Black,3
Khulna,Magura,Shalikha,Arpara,Dari Salai,53,Red,17
Khulna,Magura,Shalikha,Arpara,Dari Salai,55,Black,82
Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,37,Black,0
Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,Black,0
Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,Black,0
Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,55,Black,0
Khulna,Magura,Magura Sadar,Kuchiamora,Amuria,49,Red,0
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,61,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,49,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,55,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,49,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,66,Red,20
Khulna,Magura,Magura Sadar,Gopalgram,Baharbagh,55,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,55,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,Black,1
Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,Black,0
Khulna,Magura,Magura Sadar,Gopalgram,Sankochkhali,46,Red,8
Khulna,Magura,Magura Sadar,Gopalgram,Gopalgram,61,Black,0
Khulna,Magura,Mohammadpur,Rajapur,Rajpat,55,Black,0
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,46,Black,0
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,46,Black,0
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,50,Red,11
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,Red,284
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,58,Red,3
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,Black,1
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,55,Black,0
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,52,Red,4
Khulna,Magura,Mohammadpur,Rajapur,Kamaldhari,62,Red,2
Khulna,Magura,Mohammadpur,Balidia,Nikharhata,50,Black,3
Khulna,Magura,Mohammadpur,Balidia,Sreepur,55,Red,15
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,23,Red,54
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,107,Black,27
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,79,Black,0
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,91,Black,108
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,91,Black,729
Khulna,Magura,Mohammadpur,Mohammadpur,Kanainagar,50,Red,211
Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,15,Red,50
Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,37,Black,1
Dhaka,Faridpur,Boalmari,Gunbaha,Kamarhela,15,Red,57
Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,20,Red,28
Dhaka,Faridpur,Boalmari,Gunbaha,Umarnagar,20,Red,384
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,58,Black,0
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,69,Black,1
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,58,Red,109
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,56,Black,1
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,20,Red,44
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,38,Red,39
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,67,Black,0
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,64,Black,19
Dhaka,Faridpur,Boalmari,Gunbaha,Gunbaha,59,Red,69
Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,34,Red,199
Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,27,Red,167
Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,24,Red,63
Dhaka,Faridpur,Boalmari,Chatul,Dhulpukuria,38,Red,36
Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,27,Red,691
Dhaka,Faridpur,Saltha,Sonapur,Jogardia,76,Red,206
Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,24,Red,447
Dhaka,Faridpur,Saltha,Jadunandi,Bara Khardia,15,Red,61
Dhaka,Faridpur,Saltha,Sonapur,Jogardia,24,Red,41
Dhaka,Faridpur,Saltha,Sonapur,Jogardia,24,Red,421
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,Red,186
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,11,Red,169
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,Red,161
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,15,Red,265
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,21,Red,280
Dhaka,Faridpur,Saltha,Majhardia,Kagdi,14,Red,271
Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,21,Red,317
Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,20,Red,327
Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,15,Red,264
Dhaka,Faridpur,Saltha,Majhardia,Harina,24,Red,288
Dhaka,Faridpur,Saltha,Majhardia,Khalishpatti,15,Red,535
Dhaka,Faridpur,Saltha,Majhardia,Harina,17,Red,367
Dhaka,Faridpur,Saltha,Majhardia,Harina,33,Red,149
Dhaka,Faridpur,Saltha,Majhardia,Harina,49,Red,160
