id,lat,lon,division,district,upazila,union,mouza,depth,colour,as
MKK069,23.4022,89.1174,Khulna,Jhenaidah,Kaliganj,Simla Rokonpur,Ishwarba,43,7
MKG078,23.4107,89.1557,Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,56,0.2
MKG072,23.4116,89.1576,Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,30,52.4
MKG074,23.4115,89.1576,Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,52,7.3
MKG071,23.4121,89.1579,Khulna,Jhenaidah,Kaliganj,Niamatpur,Ghoshnagar,49,36.3
MKG076,23.4118,89.158,Khulna,Jhenaidah,Kaliganj,Niamatpur,Niamatpur,43,36.7
MKG081,23.4131,89.1611,Khulna,Jhenaidah,Kaliganj,Niamatpur,Niamatpur,52,30.6
MKKL088,23.4086,89.1973,Khulna,Jhenaidah,Kaliganj,Niamatpur,Raghunathpur,56,70.4
MKKL082,23.4079,89.2014,Khulna,Jhenaidah,Kaliganj,Kola,Kola,43,0.3
MKKL086,23.4094,89.2016,Khulna,Jhenaidah,Kaliganj,Kola,Kola,52,0.2
MKKL084,23.4075,89.2033,Khulna,Jhenaidah,Kaliganj,Kola,Kola,49,0.1
MKKL093,23.4075,89.2053,Khulna,Jhenaidah,Kaliganj,Kola,Kola,49,0.4
MKKL092,23.408,89.2123,Khulna,Jhenaidah,Kaliganj,Kola,Kola,18,40.4
MKM099,23.4103,89.2301,Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,55,91
MKM097,23.4067,89.2321,Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,55,0
MKM301,23.4038,89.2322,Khulna,Jhenaidah,Kaliganj,Kola,Khalkula,44,0
MKM094,23.4092,89.233,Khulna,Jhenaidah,Kaliganj,Kola,Madhyapur,41,1
MKM304,23.4161,89.2368,Khulna,Jhenaidah,Kaliganj,Kola,Pariat,49,0.3
MKS306,23.4128,89.2501,Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,49,248.9
MKS307,23.4119,89.2547,Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,64,0.2
MKS314,23.4087,89.2578,Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,49,0.3
MKS312,23.4076,89.26,Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,46,0.1
MKS315,23.4092,89.2603,Khulna,Jhenaidah,Kaliganj,Kola,Sarabaria,55,0.5
MST337,23.3887,89.2837,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,55,0
MST327,23.392,89.2844,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,29,0
MST329,23.3923,89.2861,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,50,0
MST332,23.3913,89.2865,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,52,0
MST330,23.3922,89.2866,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,58,1
MST338,23.3922,89.2867,Khulna,Magura,Shalikha,Dhaneshwargati,Tilkhari,55,10
MST334,23.3919,89.2903,Khulna,Magura,Shalikha,Dhaneshwargati,Singra,61,9
MSS339,23.3876,89.3125,Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,1
MSS340,23.3887,89.3145,Khulna,Magura,Shalikha,Talkhari,Bhulbaria,49,0
MSS341,23.3893,89.316,Khulna,Magura,Shalikha,Talkhari,Satanfuria,55,1
MSS342,23.3892,89.3188,Khulna,Magura,Shalikha,Talkhari,Satanfuria,56,1
MSS343,23.3887,89.321,Khulna,Magura,Shalikha,Talkhari,Satanfuria,49,25
MSS345,23.3886,89.3219,Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,1030
MSS346,23.3885,89.3224,Khulna,Magura,Shalikha,Talkhari,Satanfuria,50,1
MSS347,23.3892,89.3226,Khulna,Magura,Shalikha,Talkhari,Satanfuria,58,4
MSS348,23.3884,89.3229,Khulna,Magura,Shalikha,Talkhari,Satanfuria,46,0
