id,Division,District,Upazila,Union,Mouza,Depth,Arsenic,lon,lat
0,Chittagong,Noakhali,Begumganj,Jirtali,Jirtali,14,66,91.06,22.945
0,Khulna,Khulna,Daulatpur,Ward No-01, ,74,46.8,89.567,22.816
0,Khulna,Khulna,Daulatpur,Ward No-01, ,49,62.8,89.525,22.865
0,Khulna,Khulna,Daulatpur,Ward No-01, ,60,73,89.508,22.871
0,Chittagong,Feni,Daganbhuiyan,Daganbhuiyan Paurashava,Amanullapur,15,47.6,91.308,22.94
0,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,14,142,90.8644,22.9414
0,Barisal,Barisal,Agailjhara,Gaila,Seral,23,80.6,90.199,22.931
0,Chittagong,Feni,Sonagazi,Char Majlishpur,Char Majlishpur,15,136,91.332,22.931
0,Khulna,Satkhira,Kalaroa,Diara,Khurda,39,106,89.096,22.923
0,Khulna,Bagerhat,Mollahat,Udaypur,Garfa,25,103,89.81,22.927
0,Barisal,Barisal,Gaurnadi,Mahilara,Mahilara,22,69.4,90.242,22.929
0,Khulna,Satkhira,Kalaroa,Keralkata,Keralkata,44,92.5,89.014,22.917
0,Chittagong,Feni,Sonagazi,Bagadana,Paik Para,18,121,91.365,22.913
0,Khulna,Khulna,Terokhada,Madhupur,Kola,24,109,89.634,22.87
0,Khulna,Jessore,Keshabpur,Trimohini,Satbari,39,93.2,89.168,22.907
0,Chittagong,Noakhali,Begumganj,Kadirpur,Kadirpur,13,117,91.187,22.906
0,Chittagong,Feni,Sonagazi,Mangalkandi,Mirzapur,14,83.9,91.396,22.904
0,Chittagong,Noakhali,Companiganj,Char Parbati,Char Parbati (Part),9,95.6,91.332,22.886
0,Khulna,Satkhira,Kalaroa,Chandanpur,Bikrampur,46,88,88.949,22.901
0,Khulna,Bagerhat,Mollahat,Atjuri,Kamargram,18,128,89.81,22.898
0,Chittagong,Feni,Sonagazi,Char Darbesh,Char Sahabhikari,9,61.7,91.357,22.871
0,Chittagong,Noakhali,Noakhali Sadar (Sudharam),Paurashava, ,14,143,91.094,22.829
0,Chittagong,Feni,Sonagazi,Matiganj,Sujapur,15,101,91.408,22.872
0,Chittagong,Feni,Sonagazi,Amirabad,Sonapur (Part-B),15,67.8,91.428,22.862
0,Chittagong,Noakhali,Noakhali Sadar (Sudharam),Char Matua,Brahmapur,9,84.4,91.002,22.848
0,Khulna,Bagerhat,Mollahat,Gaola,Gaola,34,124,89.748,22.824
